pos	nA	nC	nG	nT	GCsk	TAsk	cGCsk	cTAsk
191500	352	287	98	263	-189	-89	3080	1890
192500	345	201	131	323	-70	-22	3010	1868
193500	310	221	161	308	-60	-2	2950	1866
194500	324	216	211	249	-5	-75	2945	1791
195500	291	196	225	288	29	-3	2974	1788
196500	288	229	213	270	-16	-18	2958	1770
197500	292	240	205	263	-35	-29	2923	1741
198500	298	224	208	270	-16	-28	2907	1713
199500	308	216	201	275	-15	-33	2892	1680
200500	240	208	258	294	50	54	2942	1734
201500	331	251	187	231	-64	-100	2878	1634
202500	316	229	227	228	-2	-88	2876	1546
203500	284	224	223	269	-1	-15	2875	1531
204500	245	204	242	309	38	64	2913	1595
205500	295	236	200	269	-36	-26	2877	1569
206500	327	233	218	222	-15	-105	2862	1464
207500	342	179	179	300	0	-42	2862	1422
208500	280	193	194	333	1	53	2863	1475
209500	248	233	199	320	-34	72	2829	1547
210500	275	219	206	300	-13	25	2816	1572
211500	323	173	173	331	0	8	2816	1580
212500	317	171	189	323	18	6	2834	1586
213500	315	207	186	292	-21	-23	2813	1563
214500	342	207	212	239	5	-103	2818	1460
215500	304	204	199	293	-5	-11	2813	1449
216500	313	185	211	291	26	-22	2839	1427
217500	305	178	229	288	51	-17	2890	1410
218500	329	193	178	300	-15	-29	2875	1381
219500	314	182	214	290	32	-24	2907	1357
220500	357	169	177	297	8	-60	2915	1297
221500	343	144	219	294	75	-49	2990	1248
222500	338	148	203	311	55	-27	3045	1221
223500	349	154	186	311	32	-38	3077	1183
224500	377	145	172	306	27	-71	3104	1112
225500	293	175	244	288	69	-5	3173	1107
226500	305	186	221	288	35	-17	3208	1090
227500	210	252	285	253	33	43	3241	1133
228500	248	262	236	254	-26	6	3215	1139
229500	301	207	213	279	6	-22	3221	1117
230500	321	162	215	302	53	-19	3274	1098
231500	310	160	186	344	26	34	3300	1132
232500	324	163	170	343	7	19	3307	1151
233500	317	162	214	307	52	-10	3359	1141
234500	307	181	187	325	6	18	3365	1159
235500	314	187	185	314	-2	0	3363	1159
236500	335	207	174	284	-33	-51	3330	1108
237500	319	183	217	281	34	-38	3364	1070
238500	329	176	220	275	44	-54	3408	1016
239500	296	199	214	291	15	-5	3423	1011
240500	328	154	188	330	34	2	3457	1013
241500	296	178	203	323	25	27	3482	1040
242500	309	198	207	286	9	-23	3491	1017
243500	319	191	203	287	12	-32	3503	985
244500	299	219	193	289	-26	-10	3477	975
245500	264	178	164	394	-14	130	3463	1105
246500	285	180	182	353	2	68	3465	1173
247500	257	210	213	320	3	63	3468	1236
248500	346	166	192	296	26	-50	3494	1186
249500	342	170	219	269	49	-73	3543	1113
250500	306	178	194	322	16	16	3559	1129
251500	262	190	223	325	33	63	3592	1192
252500	300	185	173	342	-12	42	3580	1234
253500	268	205	179	348	-26	80	3554	1314
254500	318	156	191	335	35	17	3589	1331
255500	334	185	187	294	2	-40	3591	1291
256500	344	174	208	274	34	-70	3625	1221
257500	345	143	207	305	64	-40	3689	1181
258500	310	168	180	342	12	32	3701	1213
259500	319	204	190	287	-14	-32	3687	1181
260500	285	178	237	300	59	15	3746	1196
261500	257	202	241	300	39	43	3785	1239
262500	240	203	227	330	24	90	3809	1329
263500	253	213	222	312	9	59	3818	1388
264500	300	175	228	297	53	-3	3871	1385
265500	280	182	169	369	-13	89	3858	1474
266500	316	135	184	365	49	49	3907	1523
267500	337	153	199	311	46	-26	3953	1497
268500	323	157	212	308	55	-15	4008	1482
269500	292	205	182	321	-23	29	3985	1511
270500	327	166	185	322	19	-5	4004	1506
271500	313	147	203	337	56	24	4060	1530
272500	337	177	210	276	33	-61	4093	1469
273500	300	186	215	299	29	-1	4122	1468
274500	296	200	230	274	30	-22	4152	1446
275500	283	205	227	285	22	2	4174	1448
276500	325	163	181	331	18	6	4192	1454
277500	380	159	170	291	11	-89	4203	1365
278500	295	210	182	313	-28	18	4175	1383
279500	249	238	220	293	-18	44	4157	1427
280500	246	246	216	292	-30	46	4127	1473
281500	263	201	185	351	-16	88	4111	1561
282500	245	169	205	381	36	136	4147	1697
283500	305	161	183	351	22	46	4169	1743
284500	332	168	209	291	41	-41	4210	1702
285500	384	171	173	272	2	-112	4212	1590
286500	343	156	202	299	46	-44	4258	1546
287500	304	185	204	307	19	3	4277	1549
288500	267	203	219	311	16	44	4293	1593
289500	311	177	200	312	23	1	4316	1594
290500	259	185	205	351	20	92	4336	1686
291500	225	174	239	362	65	137	4401	1823
292500	262	191	211	336	20	74	4421	1897
293500	374	204	201	221	-3	-153	4418	1744
294500	280	183	206	331	23	51	4441	1795
295500	294	191	211	304	20	10	4461	1805
296500	285	198	226	291	28	6	4489	1811
297500	278	185	228	309	43	31	4532	1842
298500	327	179	181	313	2	-14	4534	1828
299500	312	179	198	311	19	-1	4553	1827
300500	313	208	201	278	-7	-35	4546	1792
301500	340	172	203	285	31	-55	4577	1737
302500	321	198	197	284	-1	-37	4576	1700
303500	334	162	181	323	19	-11	4595	1689
304500	334	212	180	274	-32	-60	4563	1629
305500	278	221	204	297	-17	19	4546	1648
306500	308	222	203	267	-19	-41	4527	1607
307500	325	179	211	285	32	-40	4559	1567
308500	292	199	221	288	22	-4	4581	1563
309500	292	194	213	301	19	9	4600	1572
310500	260	213	208	319	-5	59	4595	1631
311500	292	208	191	309	-17	17	4578	1648
312500	274	209	208	309	-1	35	4577	1683
313500	262	203	185	350	-18	88	4559	1771
314500	311	182	213	294	31	-17	4590	1754
315500	347	163	198	292	35	-55	4625	1699
316500	302	174	203	321	29	19	4654	1718
317500	286	172	189	353	17	67	4671	1785
318500	317	178	212	293	34	-24	4705	1761
319500	280	182	228	310	46	30	4751	1791
320500	347	177	193	283	16	-64	4767	1727
321500	354	200	188	258	-12	-96	4755	1631
322500	375	192	198	235	6	-140	4761	1491
323500	343	188	189	280	1	-63	4762	1428
324500	301	146	210	343	64	42	4826	1470
325500	335	169	175	321	6	-14	4832	1456
326500	278	193	209	320	16	42	4848	1498
327500	297	195	161	347	-34	50	4814	1548
328500	304	186	196	314	10	10	4824	1558
329500	259	182	208	351	26	92	4850	1650
330500	227	196	232	345	36	118	4886	1768
331500	272	166	197	365	31	93	4917	1861
332500	278	219	178	325	-41	47	4876	1908
333500	262	203	205	330	2	68	4878	1976
334500	307	173	182	338	9	31	4887	2007
335500	275	209	203	313	-6	38	4881	2045
336500	289	209	207	295	-2	6	4879	2051
337500	298	177	190	335	13	37	4892	2088
338500	322	159	170	349	11	27	4903	2115
339500	349	144	216	291	72	-58	4975	2057
340500	309	179	184	328	5	19	4980	2076
341500	238	210	176	376	-34	138	4946	2214
342500	254	196	211	339	15	85	4961	2299
343500	254	217	192	337	-25	83	4936	2382
344500	248	218	216	318	-2	70	4934	2452
345500	331	179	166	324	-13	-7	4921	2445
346500	261	193	196	350	3	89	4924	2534
347500	291	184	214	311	30	20	4954	2554
348500	339	167	205	289	38	-50	4992	2504
349500	283	202	251	264	49	-19	5041	2485
350500	300	193	242	265	49	-35	5090	2450
351500	273	183	237	307	54	34	5144	2484
352500	339	152	175	334	23	-5	5167	2479
353500	286	184	234	296	50	10	5217	2489
354500	322	163	221	294	58	-28	5275	2461
355500	292	210	159	339	-51	47	5224	2508
356500	265	227	224	284	-3	19	5221	2527
357500	284	204	178	334	-26	50	5195	2577
358500	270	195	210	325	15	55	5210	2632
359500	293	204	212	291	8	-2	5218	2630
360500	310	163	193	334	30	24	5248	2654
361500	315	153	214	318	61	3	5309	2657
362500	324	161	214	301	53	-23	5362	2634
363500	317	171	195	317	24	0	5386	2634
364500	311	195	195	299	0	-12	5386	2622
365500	252	203	214	331	11	79	5397	2701
366500	299	154	191	356	37	57	5434	2758
367500	291	186	214	309	28	18	5462	2776
368500	312	152	225	311	73	-1	5535	2775
369500	300	216	211	273	-5	-27	5530	2748
370500	287	185	197	331	12	44	5542	2792
371500	348	161	195	296	34	-52	5576	2740
372500	289	190	224	297	34	8	5610	2748
373500	280	174	262	284	88	4	5698	2752
374500	303	192	244	261	52	-42	5750	2710
375500	270	228	226	276	-2	6	5748	2716
376500	282	177	232	309	55	27	5803	2743
377500	319	189	203	289	14	-30	5817	2713
378500	310	183	206	301	23	-9	5840	2704
379500	212	169	231	388	62	176	5902	2880
380500	297	181	200	322	19	25	5921	2905
381500	315	179	183	323	4	8	5925	2913
382500	336	160	188	316	28	-20	5953	2893
383500	281	191	208	320	17	39	5970	2932
384500	285	154	200	361	46	76	6016	3008
385500	317	179	208	296	29	-21	6045	2987
386500	323	150	179	348	29	25	6074	3012
387500	282	198	206	314	8	32	6082	3044
388500	325	186	191	298	5	-27	6087	3017
389500	278	178	248	296	70	18	6157	3035
390500	332	175	190	303	15	-29	6172	3006
391500	320	190	198	292	8	-28	6180	2978
392500	337	175	214	274	39	-63	6219	2915
393500	304	161	201	334	40	30	6259	2945
394500	335	188	199	278	11	-57	6270	2888
395500	298	193	207	302	14	4	6284	2892
396500	324	181	210	285	29	-39	6313	2853
397500	343	161	189	307	28	-36	6341	2817
398500	338	165	203	294	38	-44	6379	2773
399500	272	206	183	339	-23	67	6356	2840
400500	281	198	198	323	0	42	6356	2882
401500	289	181	173	357	-8	68	6348	2950
402500	264	207	182	347	-25	83	6323	3033
403500	288	196	195	321	-1	33	6322	3066
404500	271	178	205	346	27	75	6349	3141
405500	316	170	197	317	27	1	6376	3142
406500	336	189	204	271	15	-65	6391	3077
407500	375	147	214	264	67	-111	6458	2966
408500	289	185	212	314	27	25	6485	2991
409500	284	182	220	314	38	30	6523	3021
410500	258	200	233	309	33	51	6556	3072
411500	301	166	190	343	24	42	6580	3114
412500	303	164	215	318	51	15	6631	3129
413500	259	206	225	310	19	51	6650	3180
414500	292	176	205	327	29	35	6679	3215
415500	279	213	194	314	-19	35	6660	3250
416500	263	189	199	349	10	86	6670	3336
417500	286	194	208	312	14	26	6684	3362
418500	316	196	179	309	-17	-7	6667	3355
419500	278	204	208	310	4	32	6671	3387
420500	341	193	172	294	-21	-47	6650	3340
421500	296	149	203	352	54	56	6704	3396
422500	276	179	242	303	63	27	6767	3423
423500	297	176	220	307	44	10	6811	3433
424500	353	178	222	247	44	-106	6855	3327
425500	316	190	185	309	-5	-7	6850	3320
426500	289	182	189	340	7	51	6857	3371
427500	299	191	207	303	16	4	6873	3375
428500	300	173	210	317	37	17	6910	3392
429500	375	142	206	277	64	-98	6974	3294
430500	292	189	241	278	52	-14	7026	3280
431500	318	186	214	282	28	-36	7054	3244
432500	328	181	209	282	28	-46	7082	3198
433500	263	198	326	213	128	-50	7210	3148
434500	278	207	305	210	98	-68	7308	3080
435500	281	191	325	203	134	-78	7442	3002
436500	257	204	304	235	100	-22	7542	2980
437500	269	214	275	242	61	-27	7603	2953
438500	282	196	268	254	72	-28	7675	2925
439500	308	165	255	272	90	-36	7765	2889
440500	361	159	224	256	65	-105	7830	2784
441500	330	178	226	266	48	-64	7878	2720
442500	312	181	237	270	56	-42	7934	2678
443500	321	184	208	287	24	-34	7958	2644
444500	326	168	226	280	58	-46	8016	2598
445500	303	185	232	280	47	-23	8063	2575
446500	335	154	248	263	94	-72	8157	2503
447500	317	166	241	276	75	-41	8232	2462
448500	314	191	217	278	26	-36	8258	2426
449500	324	170	235	271	65	-53	8323	2373
450500	303	175	251	271	76	-32	8399	2341
451500	326	183	234	257	51	-69	8450	2272
452500	337	170	248	245	78	-92	8528	2180
453500	318	170	234	278	64	-40	8592	2140
454500	328	168	257	247	89	-81	8681	2059
455500	300	159	269	272	110	-28	8791	2031
456500	326	168	231	275	63	-51	8854	1980
457500	373	158	208	261	50	-112	8904	1868
458500	337	165	238	260	73	-77	8977	1791
459500	339	154	242	265	88	-74	9065	1717
460500	372	148	226	254	78	-118	9143	1599
461500	352	134	243	271	109	-81	9252	1518
462500	358	146	211	285	65	-73	9317	1445
463500	347	158	234	261	76	-86	9393	1359
464500	327	150	249	274	99	-53	9492	1306
465500	289	167	213	331	46	42	9538	1348
466500	343	149	202	306	53	-37	9591	1311
467500	318	166	212	304	46	-14	9637	1297
468500	334	154	215	297	61	-37	9698	1260
469500	272	185	195	348	10	76	9708	1336
470500	353	168	190	289	22	-64	9730	1272
471500	314	179	219	288	40	-26	9770	1246
472500	288	146	240	326	94	38	9864	1284
473500	286	182	224	308	42	22	9906	1306
474500	268	187	258	287	71	19	9977	1325
475500	295	175	246	284	71	-11	10048	1314
476500	310	183	221	286	38	-24	10086	1290
477500	281	162	198	359	36	78	10122	1368
478500	298	159	182	361	23	63	10145	1431
479500	302	145	193	360	48	58	10193	1489
480500	308	185	187	320	2	12	10195	1501
481500	283	175	191	351	16	68	10211	1569
482500	296	165	214	325	49	29	10260	1598
483500	319	165	207	309	42	-10	10302	1588
484500	305	153	221	321	68	16	10370	1604
485500	285	168	182	365	14	80	10384	1684
486500	326	177	199	298	22	-28	10406	1656
487500	314	152	206	328	54	14	10460	1670
488500	274	149	170	407	21	133	10481	1803
489500	262	160	194	384	34	122	10515	1925
490500	280	162	197	361	35	81	10550	2006
491500	283	174	198	345	24	62	10574	2068
492500	296	148	192	364	44	68	10618	2136
493500	281	178	219	322	41	41	10659	2177
494500	295	192	181	332	-11	37	10648	2214
495500	307	180	202	311	22	4	10670	2218
496500	319	160	186	335	26	16	10696	2234
497500	276	186	189	349	3	73	10699	2307
498500	275	197	227	301	30	26	10729	2333
499500	260	187	256	297	69	37	10798	2370
500500	296	180	229	295	49	-1	10847	2369
501500	340	155	190	315	35	-25	10882	2344
502500	296	173	216	315	43	19	10925	2363
503500	342	188	179	291	-9	-51	10916	2312
504500	272	191	195	342	4	70	10920	2382
505500	243	162	227	368	65	125	10985	2507
506500	307	160	196	337	36	30	11021	2537
507500	291	181	183	345	2	54	11023	2591
508500	325	149	184	342	35	17	11058	2608
509500	282	209	193	316	-16	34	11042	2642
510500	271	237	170	322	-67	51	10975	2693
511500	255	218	194	333	-24	78	10951	2771
512500	233	224	205	338	-19	105	10932	2876
513500	326	152	188	334	36	8	10968	2884
514500	318	174	201	307	27	-11	10995	2873
515500	302	180	197	321	17	19	11012	2892
516500	235	184	225	356	41	121	11053	3013
517500	305	181	213	301	32	-4	11085	3009
518500	318	179	218	285	39	-33	11124	2976
519500	344	186	183	287	-3	-57	11121	2919
520500	303	176	209	312	33	9	11154	2928
521500	306	177	194	323	17	17	11171	2945
522500	225	182	239	354	57	129	11228	3074
523500	268	173	218	341	45	73	11273	3147
524500	295	162	208	335	46	40	11319	3187
525500	304	176	203	317	27	13	11346	3200
526500	301	170	196	333	26	32	11372	3232
527500	306	162	233	299	71	-7	11443	3225
528500	284	198	234	284	36	0	11479	3225
529500	274	181	242	303	61	29	11540	3254
530500	263	157	245	335	88	72	11628	3326
531500	288	174	246	292	72	4	11700	3330
532500	236	183	228	353	45	117	11745	3447
533500	280	176	197	347	21	67	11766	3514
534500	291	185	207	317	22	26	11788	3540
535500	329	168	188	315	20	-14	11808	3526
536500	285	162	224	329	62	44	11870	3570
537500	297	191	180	332	-11	35	11859	3605
538500	298	182	199	321	17	23	11876	3628
539500	321	161	207	311	46	-10	11922	3618
540500	326	169	202	303	33	-23	11955	3595
541500	276	182	182	360	0	84	11955	3679
542500	301	155	194	350	39	49	11994	3728
543500	329	164	183	324	19	-5	12013	3723
544500	299	172	187	342	15	43	12028	3766
545500	327	152	181	340	29	13	12057	3779
546500	339	171	201	289	30	-50	12087	3729
547500	303	181	198	318	17	15	12104	3744
548500	280	189	191	340	2	60	12106	3804
549500	344	153	174	329	21	-15	12127	3789
550500	283	140	257	320	117	37	12244	3826
551500	337	171	179	313	8	-24	12252	3802
552500	284	172	240	304	68	20	12320	3822
553500	284	176	224	316	48	32	12368	3854
554500	321	181	214	284	33	-37	12401	3817
555500	326	148	202	324	54	-2	12455	3815
556500	290	186	211	313	25	23	12480	3838
557500	308	202	218	272	16	-36	12496	3802
558500	302	178	252	268	74	-34	12570	3768
559500	286	179	286	249	107	-37	12677	3731
560500	316	194	259	231	65	-85	12742	3646
561500	326	190	211	273	21	-53	12763	3593
562500	306	149	235	310	86	4	12849	3597
563500	303	155	201	341	46	38	12895	3635
564500	333	157	223	287	66	-46	12961	3589
565500	249	200	223	328	23	79	12984	3668
566500	297	178	228	297	50	0	13034	3668
567500	345	167	213	275	46	-70	13080	3598
568500	338	197	192	273	-5	-65	13075	3533
569500	310	157	200	333	43	23	13118	3556
570500	286	160	225	329	65	43	13183	3599
571500	307	157	183	353	26	46	13209	3645
572500	304	192	186	318	-6	14	13203	3659
573500	293	175	208	324	33	31	13236	3690
574500	260	215	219	306	4	46	13240	3736
575500	263	209	198	330	-11	67	13229	3803
576500	271	219	199	311	-20	40	13209	3843
577500	301	170	215	314	45	13	13254	3856
578500	304	189	221	286	32	-18	13286	3838
579500	329	128	204	339	76	10	13362	3848
580500	327	168	215	290	47	-37	13409	3811
581500	275	168	225	332	57	57	13466	3868
582500	332	160	186	322	26	-10	13492	3858
583500	281	181	202	336	21	55	13513	3913
584500	276	198	200	326	2	50	13515	3963
585500	311	174	186	329	12	18	13527	3981
586500	293	173	189	345	16	52	13543	4033
587500	279	147	221	353	74	74	13617	4107
588500	269	201	163	367	-38	98	13579	4205
589500	285	167	188	360	21	75	13600	4280
590500	276	180	183	361	3	85	13603	4365
591500	310	175	229	286	54	-24	13657	4341
592500	312	173	233	282	60	-30	13717	4311
593500	303	179	229	289	50	-14	13767	4297
594500	288	185	219	308	34	20	13801	4317
595500	320	182	225	273	43	-47	13844	4270
596500	341	158	215	286	57	-55	13901	4215
597500	266	183	244	307	61	41	13962	4256
598500	308	163	203	326	40	18	14002	4274
599500	332	159	162	347	3	15	14005	4289
600500	314	163	206	317	43	3	14048	4292
601500	311	174	209	306	35	-5	14083	4287
602500	298	180	229	293	49	-5	14132	4282
603500	296	167	227	310	60	14	14192	4296
604500	306	188	208	298	20	-8	14212	4288
605500	278	168	213	341	45	63	14257	4351
606500	310	176	194	320	18	10	14275	4361
607500	329	157	184	330	27	1	14302	4362
608500	270	197	202	331	5	61	14307	4423
609500	285	209	189	317	-20	32	14287	4455
610500	245	182	202	371	20	126	14307	4581
611500	304	195	203	298	8	-6	14315	4575
612500	289	187	189	335	2	46	14317	4621
613500	271	210	185	334	-25	63	14292	4684
614500	318	148	225	309	77	-9	14369	4675
615500	246	155	200	399	45	153	14414	4828
616500	291	170	236	303	66	12	14480	4840
617500	288	155	230	327	75	39	14555	4879
618500	322	157	214	307	57	-15	14612	4864
619500	262	191	218	329	27	67	14639	4931
620500	314	186	223	277	37	-37	14676	4894
621500	306	167	230	297	63	-9	14739	4885
622500	278	180	234	308	54	30	14793	4915
623500	305	166	216	313	50	8	14843	4923
624500	328	169	201	302	32	-26	14875	4897
625500	352	159	182	307	23	-45	14898	4852
626500	299	176	215	310	39	11	14937	4863
627500	316	159	194	331	35	15	14972	4878
628500	299	199	186	316	-13	17	14959	4895
629500	331	184	188	297	4	-34	14963	4861
630500	304	201	169	326	-32	22	14931	4883
631500	300	194	182	324	-12	24	14919	4907
632500	292	200	179	329	-21	37	14898	4944
633500	297	191	188	324	-3	27	14895	4971
634500	302	163	183	352	20	50	14915	5021
635500	342	161	184	313	23	-29	14938	4992
636500	293	154	186	367	32	74	14970	5066
637500	283	151	205	361	54	78	15024	5144
638500	265	177	278	280	101	15	15125	5159
639500	295	166	248	291	82	-4	15207	5155
640500	285	185	233	297	48	12	15255	5167
641500	311	170	231	288	61	-23	15316	5144
642500	299	186	222	293	36	-6	15352	5138
643500	349	166	229	256	63	-93	15415	5045
644500	291	168	237	304	69	13	15484	5058
645500	314	137	252	297	115	-17	15599	5041
646500	310	177	216	297	39	-13	15638	5028
647500	316	155	214	315	59	-1	15697	5027
648500	351	155	181	313	26	-38	15723	4989
649500	314	156	168	362	12	48	15735	5037
